Code1 	 Code2 	 Name 	 #Developers 	 #Commits 	 #Languages
JO	JOR	jordan	1184	77872	:133,Mathematica:2,YARA:2,Rust:16,Vim script:21,Haxe:5,BitBake:2,Perl 6:44,Objective-C:103,Smarty:2,Jupyter Notebook:202,Crystal:1,C#:376,DIGITAL Command Language:2,D:41,OpenEdge ABL:2,Scala:19,C++:347,Go:46,Roff:4,Makefile:35,LookML:4,Python:969,Hack:3,Elixir:46,ApacheConf:1,CMake:4,Ruby:336,R:97,GLSL:4,Shell:236,Puppet:1,XSLT:1,Java:1432,FreeMarker:2,ActionScript:11,Gherkin:1,Erlang:2,GCC Machine Description:2,Vue:49,Groovy:4,Perl:42,Dockerfile:18,MATLAB:21,CSS:432,TeX:14,Prolog:1,JavaScript:2864,Lua:8,Objective-C++:2,C:191,Emacs Lisp:3,SQLPL:4,Haskell:5,Elm:2,Visual Basic:4,HTML:912,Assembly:8,Dart:43,IDL:2,PowerShell:24,VHDL:4,TSQL:6,Nginx:2,PHP:938,CoffeeScript:24,Pascal:4,Batchfile:6,Swift:430,PLSQL:2,AutoIt:2,TypeScript:370,SourcePawn:4,Arduino:8,Kotlin:108,CLIPS:4,ASP:2
JP	JPN	japan	43954	7049143	:3380,Vim script:7358,Haxe:232,BitBake:90,C#:19446,LiveScript:66,Bison:8,MQL4:51,Stan:22,Crystal:311,RenderScript:6,Mako:10,GDB:8,GDScript:44,BlitzBasic:6,Scala:5699,Ballerina:6,Go:27336,LookML:2,Max:76,Visual Basic:729,QMake:14,PLpgSQL:97,D:512,PicoLisp:24,Nginx:147,CartoCSS:4,PureBasic:24,XS:8,Thrift:8,AutoHotkey:157,xBase:2,Brainfuck:38,NewLisp:10,Lua:1277,P4:6,Hy:42,Liquid:48,Fortran:347,Limbo:2,VCL:12,Gherkin:12,Squirrel:2,M:2,Graphviz (DOT):18,SQL:4,Java:34032,Dart:1916,Forth:18,PowerShell:1609,Game Maker Language:70,Alloy:4,OpenEdge ABL:43,Swift:16296,AutoIt:12,G-code:1,Isabelle:20,Mask:16,XML:15,COBOL:30,IDL:26,MQL5:15,XQuery:8,Objective-C:7104,Smarty:312,F*:2,Scheme:468,Scilab:21,Standard ML:82,Rebol:2,Agda:51,wisp:2,GCC Machine Description:50,UnrealScript:8,Io:5,Shen:2,Lex:6,Idris:30,Python:58979,Racket:94,PigLatin:4,Gosu:9,Ruby:52124,R:2109,XC:5,Nemerle:8,ooc:6,X10:2,ActionScript:420,Eagle:150,SRecode Template:2,RobotFramework:8,PHP:21860,Pure Data:17,Apex:111,ANTLR:17,Julia:588,Prolog:115,SystemVerilog:127,VHDL:173,HCL:861,Objective-C++:133,Objective-J:13,C:21015,Emacs Lisp:3738,MAXScript:7,Haskell:3384,Csound Document:2,Protocol Buffer:26,Groff:39,Assembly:635,AngelScript:35,Red:4,Kotlin:6314,OpenSCAD:65,Logos:112,TSQL:94,ChucK:8,KiCad Layout:114,Dockerfile:5185,Factor:2,GAP:15,PLSQL:23,NCL:1,TypeScript:15457,Hack:56,Verilog:291,CLIPS:1,SuperCollider:26,PostScript:62,Puppet:82,Brightscript:2,FreeMarker:16,ABAP:3,YARA:6,Clojure:1688,Common Workflow Language:6,SQLPL:34,NSIS:14,Common Lisp:1195,Propeller Spin:2,LSL:5,ColdFusion:6,Mercury:2,V:17,Gnuplot:41,Handlebars:2,Modula-2:2,Oz:4,C++:28005,SQF:33,NetLogo:2,TLA:6,CMake:866,Smali:6,AppleScript:79,XSLT:284,Dhall:10,Ren&#39;Py:21,Coq:198,Erlang:507,QML:66,Tcl:123,Terra:4,Groovy:718,EmberScript:14,Nim:324,Nextflow:4,Xtend:3,TeX:2241,Module Management System:2,JavaScript:93170,Elm:766,Mathematica:88,Nix:140,Lean:2,Zig:10,Processing:818,DIGITAL Command Language:34,HLSL:72,Batchfile:523,nesC:11,sed:10,GLSL:227,F#:370,IGOR Pro:18,Csound Score:2,Inno Setup:6,Papyrus:4,Smalltalk:118,Metal:12,Boo:2,SourcePawn:28,Yacc:64,Ragel in Ruby Host:2,Cirru:2,ASP:148,LabVIEW:18,SaltStack:24,MTML:24,Frege:4,Perl 6:161,ShaderLab:279,Jupyter Notebook:10283,Stata:20,ApacheConf:139,Vala:80,Gettext Catalog:2,Ada:4,Jsonnet:40,M4:27,Meson:6,Makefile:2394,Solidity:56,q:2,RPC:26,Elixir:1936,Rich Text Format:35,Pony:8,Roff:186,Shell:20760,YASnippet:20,Cuda:162,SMT:8,Vue:5257,Perl:4363,MATLAB:977,CSS:15203,GAMS:4,mcfunction:2,Diff:4,LilyPond:8,SAS:4,PureScript:119,WebAssembly:34,Arduino:705,API Blueprint:26,Arc:9,OCaml:1007,Lasso:6,AGS Script:26,HTML:31148,DTrace:1,Awk:46,Rust:5730,RAML:2,CoffeeScript:2992,Pascal:184,FLUX:8,Web Ontology Language:8,Parrot:2,AspectJ:4,POV-Ray SDL:10,AMPL:12,DM:7,LLVM:34,Component Pascal:18
KE	KEN	kenya	5914	670824	:416,Vim script:145,OCaml:12,NSIS:1,Mathematica:4,Common Lisp:30,Handlebars:1,Crystal:10,COBOL:1,Gnuplot:2,D:6,GDScript:8,Scala:201,C++:1392,Go:1165,R:398,Logos:1,Clojure:130,CMake:15,Smali:4,XSLT:58,Groff:7,FreeMarker:14,PLpgSQL:39,Erlang:35,QML:4,Tcl:8,Groovy:67,PureBasic:2,Dockerfile:155,Nextflow:2,Thrift:2,TeX:92,xBase:2,F#:15,JavaScript:17333,Elm:36,RenderScript:6,Liquid:2,Fortran:4,Limbo:1,Zig:4,Processing:15,Common Workflow Language:3,DIGITAL Command Language:8,HLSL:1,Batchfile:36,Visual Basic:104,Verilog:8,Java:11181,GLSL:4,Dart:872,NCL:4,PowerShell:87,Nginx:4,Standard ML:1,Swift:346,AutoIt:5,Yacc:2,Brainfuck:1,Perl:80,Cirru:2,ApacheConf:18,PowerBuilder:4,SaltStack:2,IDL:2,MQL5:2,Perl 6:10,ShaderLab:2,Objective-C:168,Smarty:22,Jupyter Notebook:1646,Scheme:15,Scilab:2,Stata:6,C#:1267,Vala:3,Cuda:1,GCC Machine Description:3,Makefile:148,Pony:2,Elixir:377,Rich Text Format:5,Ruby:2088,Roff:16,Shell:1141,NewLisp:1,ActionScript:4,Eagle:9,Vue:578,RobotFramework:2,PHP:7367,MATLAB:68,CSS:4268,ANTLR:2,Julia:15,Prolog:29,VHDL:2,HCL:80,SAS:11,WebAssembly:12,C:957,Emacs Lisp:21,API Blueprint:14,SQLPL:11,Lasso:2,AGS Script:1,Haskell:82,HTML:9417,Assembly:66,Red:2,Kotlin:1072,OpenSCAD:5,TSQL:46,ASP:25,Rust:255,CoffeeScript:49,Pascal:8,CLIPS:14,Python:14020,Lua:31,PLSQL:16,TypeScript:3087,Hack:33,Arduino:80,PostScript:6,Puppet:4,Rebol:1
KG	KGZ	kyrgyzstan	606	69203	:28,Clojure:2,Vim script:41,LabVIEW:2,NSIS:4,Pure Data:2,Objective-C:45,Smarty:2,FreeMarker:4,Jupyter Notebook:92,Scheme:4,Processing:2,Crystal:2,C#:173,Scala:4,C++:125,Go:309,R:9,Makefile:9,Solidity:4,Python:828,Pascal:2,Racket:2,Elixir:33,Rich Text Format:1,CMake:2,Ruby:633,Roff:2,Shell:162,XSLT:7,HTML:467,VHDL:12,ActionScript:5,PLpgSQL:3,Erlang:2,Vue:34,Groovy:4,Perl:8,GLSL:1,MATLAB:4,CSS:347,ANTLR:2,TeX:6,xBase:2,Xtend:1,SystemVerilog:2,JavaScript:1551,HCL:2,Lua:27,C:120,Arduino:6,Gherkin:2,Haskell:2,Visual Basic:12,Java:764,Assembly:9,Dart:109,Kotlin:112,Uno:4,TSQL:3,Emacs Lisp:4,ASP:7,Nginx:1,Rust:8,CoffeeScript:8,Dockerfile:12,Swift:65,TypeScript:186,Verilog:6,PHP:495,Batchfile:8,ApacheConf:4
KH	KHM	cambodia	935	53509	:103,Vim script:31,Common Lisp:2,Processing:4,Dockerfile:16,GDScript:13,Scala:17,C++:251,Go:120,Protocol Buffer:1,Hack:3,Clojure:71,CMake:4,Smali:4,AppleScript:1,PLpgSQL:1,Elm:12,XSLT:8,Erlang:10,QML:1,Nginx:2,Groovy:15,PureBasic:2,Nim:4,TeX:24,Dart:75,JavaScript:2402,Lua:16,Mathematica:2,Gherkin:2,Visual Basic:8,Java:1208,Markdown:1,GLSL:2,F#:1,PowerShell:8,Swift:237,AutoIt:2,SourcePawn:1,ApacheConf:3,G-code:1,Perl:14,Cirru:2,ASP:4,Frege:1,Perl 6:2,Objective-C:119,Smarty:4,Jupyter Notebook:61,Scheme:2,Standard ML:1,C#:282,Makefile:25,MoonScript:1,Python:530,Elixir:43,Ruby:454,R:17,Shell:286,Eagle:3,Vue:97,PHP:1108,Apex:1,CSS:449,Objective-C++:2,Arduino:18,PureScript:2,WebAssembly:4,C:154,Emacs Lisp:9,API Blueprint:1,SQLPL:2,Haskell:23,MATLAB:5,HTML:780,Assembly:11,Kotlin:155,OpenSCAD:1,TSQL:4,Rust:9,CoffeeScript:20,Pascal:10,PLSQL:1,TypeScript:270,Verilog:3,Batchfile:2
KI	KIR	kiribati	22	1850	Assembly:2,Go:8,CSS:20,:2,Python:18,JavaScript:88,C#:32,Dockerfile:2,Shell:6,HTML:38,TypeScript:16,C++:4,Vue:6,Java:20,PHP:8
KM	COM	comoros	53	36124	:6,CSS:14,Vim script:2,TeX:3,JavaScript:100,Lua:1,Jupyter Notebook:7,C:1,Emacs Lisp:4,Standard ML:1,C#:18,GDScript:1,ASP:2,HTML:28,C++:19,Go:1,F#:4,Julia:58,Python:47,Visual Basic:4,CoffeeScript:2,Dockerfile:2,Ruby:27,Shell:22,Java:74,TypeScript:5,Kotlin:5,Vue:2,Groovy:2,PHP:50
KN	KNA	st. kitts & nevis	71	3482	:6,CSS:47,NSIS:1,JavaScript:219,Jupyter Notebook:20,Io:2,C:15,C#:9,Processing:4,Java:122,C++:5,Go:2,Dart:9,Python:50,Hack:4,Scala:2,CoffeeScript:2,Dockerfile:2,Ruby:41,R:2,Swift:2,Shell:5,HTML:93,TypeScript:51,Arduino:2,Erlang:2,Kotlin:5,Vue:19,PHP:115
KP	PRK	north korea	97	14743	:13,OpenEdge ABL:2,CSS:35,Vim script:4,TeX:9,JavaScript:118,Lua:8,Jupyter Notebook:2,Kotlin:1,C:35,Fortran:2,C#:81,Cuda:2,Processing:2,Protocol Buffer:2,Java:96,HTML:101,C++:56,Go:18,Dart:6,Makefile:14,PowerShell:4,SQF:8,Python:208,Rust:1,Dockerfile:2,Ruby:10,Swift:4,Shell:18,PLpgSQL:4,Scala:42,TypeScript:7,AMPL:4,Batchfile:2,Perl:34,Vue:10,CartoCSS:4,Groovy:4,PHP:65
KR	KOR	south korea	27289	3503321	:1613,Elixir:286,Vim script:1204,Haxe:22,ABAP:4,C#:8724,LiveScript:2,Handlebars:4,Crystal:105,COBOL:6,DIGITAL Command Language:19,Slash:2,GDScript:44,BlitzBasic:2,Scala:1952,SRecode Template:1,Go:5923,KiCad Layout:2,Logos:49,Clojure:602,PLpgSQL:64,Elm:62,nesC:9,Nginx:49,PureBasic:35,Thrift:6,AutoHotkey:93,GDB:10,Lua:650,Hy:8,RPC:22,Fortran:79,Limbo:2,Common Workflow Language:2,Squirrel:16,Visual Basic:216,Java:46916,Dart:1208,PowerShell:413,Game Maker Language:6,Turing:2,OpenEdge ABL:26,Swift:8639,AutoIt:12,PHP:4565,IDL:10,Objective-C:3733,Smarty:154,Scheme:54,Inno Setup:9,Standard ML:29,Rebol:15,Gosu:4,GCC Machine Description:55,Io:8,Idris:2,Python:51143,Racket:79,Ruby:6132,R:2415,M:3,ActionScript:81,Eagle:26,Isabelle:4,Apex:2,ANTLR:20,Julia:180,Prolog:2,SystemVerilog:14,Inform 7:4,HCL:342,Objective-C++:59,Objective-J:4,C:13536,Emacs Lisp:425,Haskell:456,Protocol Buffer:16,Groff:23,Assembly:342,AngelScript:1,Kotlin:4962,OpenSCAD:15,TSQL:59,Max:7,Dockerfile:921,Factor:4,PLSQL:131,TypeScript:8208,Hack:27,Arduino:421,SuperCollider:4,PostScript:30,Puppet:13,Papyrus:6,PigLatin:2,YARA:4,QMake:4,HolyC:8,OCaml:197,NSIS:16,Common Lisp:78,V:6,Gnuplot:4,Csound Document:4,C++:19715,SQF:4,Bluespec:8,CMake:435,Smali:20,AppleScript:32,XSLT:114,FreeMarker:24,Ren&#39;Py:4,Coq:88,Erlang:122,QML:52,Tcl:26,CWeb:4,Groovy:495,EmberScript:8,Nim:26,Nextflow:6,TeX:936,JavaScript:61926,D:181,Mathematica:38,Nix:32,Zig:12,Processing:254,XML:6,HLSL:9,Chapel:4,GLSL:28,F#:48,SMT:6,Smalltalk:13,Metal:2,SourcePawn:12,Yacc:50,ASP:149,LabVIEW:8,SaltStack:2,Modula-2:2,JSONiq:4,Perl 6:10,ShaderLab:41,Jupyter Notebook:15569,Stata:10,ApacheConf:31,Ada:28,Vala:16,Cuda:159,M4:12,Meson:2,Makefile:811,Solidity:60,MoonScript:2,LLVM:31,Brainfuck:10,Rich Text Format:19,Roff:88,Shell:6219,Jsonnet:18,Lex:8,Vue:2350,Perl:450,MATLAB:1264,CSS:11395,LilyPond:8,SAS:15,PureScript:22,WebAssembly:77,Verilog:208,API Blueprint:6,SQLPL:17,Lasso:2,AGS Script:2,VHDL:45,HTML:24236,Uno:8,DTrace:2,Rust:1656,RAML:4,CoffeeScript:481,Pascal:288,Web Ontology Language:20,WebIDL:4,AspectJ:4,BitBake:75,DM:2,Batchfile:304,Component Pascal:20
KW	KWT	kuwait	573	40301	:89,Clojure:2,Vim script:4,Perl:10,Objective-C:105,Jupyter Notebook:69,Scheme:2,ASP:4,Haskell:4,Ruby:174,Scala:11,C++:242,Go:57,Makefile:26,Idris:4,Python:589,Elixir:12,Rich Text Format:2,CMake:6,Smali:2,R:68,Shell:132,PLpgSQL:2,Java:590,D:3,ActionScript:7,Eagle:3,Vue:18,PHP:462,Assembly:6,MATLAB:10,CSS:229,TeX:26,SystemVerilog:2,JavaScript:1179,HCL:2,Lua:10,Objective-C++:2,Arduino:1,C:128,Emacs Lisp:8,Processing:4,FreeMarker:2,Visual Basic:13,Verilog:1,HTML:346,GLSL:6,Dart:16,PowerShell:16,KiCad Layout:2,CoffeeScript:6,Dockerfile:9,Swift:328,AutoIt:2,TypeScript:111,SourcePawn:6,ApacheConf:2,Kotlin:61,PostScript:2,Batchfile:2,C#:266
KY	CYM	cayman islands	232	16508	:30,Elixir:12,Vim script:10,Objective-C:12,Jupyter Notebook:4,Scheme:2,ColdFusion:2,C#:309,DIGITAL Command Language:1,Perl:2,Scala:4,C++:63,Go:35,Makefile:2,Python:165,Clojure:4,Ruby:68,Shell:38,PLpgSQL:2,HTML:117,M:2,ActionScript:2,Vue:1,Common Lisp:4,Groovy:5,PHP:128,Dockerfile:1,MATLAB:1,CSS:109,TeX:21,F#:5,JavaScript:491,Lua:3,C:41,Emacs Lisp:19,API Blueprint:8,OCaml:4,Haskell:4,ApacheConf:4,Visual Basic:2,Java:217,Assembly:4,Dart:15,Julia:1,PowerShell:10,Nginx:2,Rust:4,CoffeeScript:17,Pascal:27,Swift:8,PLSQL:1,AutoIt:2,TypeScript:58,SourcePawn:2,Arduino:8,Kotlin:14,XML:2,ASP:4
KZ	KAZ	kazakhstan	2045	170760	:152,Vim script:24,OCaml:16,NSIS:2,Rebol:2,Crystal:8,Gnuplot:2,GDScript:4,Scala:121,C++:775,Go:407,Roff:4,Elm:4,NetLogo:1,Clojure:48,CMake:17,PLpgSQL:21,Groff:3,FreeMarker:2,Ren&#39;Py:4,XSLT:6,Erlang:21,QML:10,Tcl:6,Groovy:9,Dockerfile:71,TeX:33,JavaScript:4130,D:4,Nix:2,Liquid:8,Fortran:5,Processing:9,XML:4,Visual Basic:5,Gettext Catalog:3,Java:2520,GLSL:1,Dart:110,PowerShell:23,Game Maker Language:4,Nginx:2,OpenEdge ABL:2,Swift:690,AutoIt:2,SourcePawn:2,ApacheConf:2,PHP:1679,Mask:2,ASP:5,IDL:1,MQL5:4,Nim:20,ShaderLab:2,Objective-C:303,Smarty:9,Jupyter Notebook:405,Scheme:5,Stata:4,C#:1351,Vala:6,AutoHotkey:2,Makefile:20,Python:2111,Racket:8,Elixir:23,Rich Text Format:2,1C Enterprise:16,Ruby:548,R:70,Shell:274,ActionScript:1,Vue:171,Perl:16,Pure Data:4,MATLAB:38,CSS:839,ANTLR:1,Julia:5,VHDL:12,Objective-C++:3,Arduino:10,PureScript:4,C:289,Emacs Lisp:5,SQLPL:6,Haskell:15,HTML:1496,Assembly:25,Kotlin:281,OpenSCAD:4,TSQL:10,Rust:22,CoffeeScript:35,Pascal:38,Lua:22,PLSQL:12,TypeScript:627,Hack:14,Verilog:28,Batchfile:23
LA	LAO	laos	487	22943	:51,Elixir:4,Vim script:12,Groff:2,NSIS:4,Objective-C:35,Smarty:4,Jupyter Notebook:87,Processing:3,C#:232,IDL:2,GDScript:2,Scala:15,C++:202,Go:27,AutoHotkey:2,Makefile:6,KiCad Layout:4,Python:362,Clojure:2,Rich Text Format:2,Assembly:3,CMake:4,Ruby:104,R:22,Shell:107,XSLT:2,Java:634,VHDL:4,Eagle:7,Erlang:2,Vue:46,Common Lisp:4,Groovy:5,Perl:7,Dockerfile:6,MATLAB:15,CSS:138,TeX:27,Prolog:4,JavaScript:1034,Lua:4,Mathematica:1,Arduino:8,C:95,Emacs Lisp:4,Fortran:2,OCaml:5,MAXScript:4,Haskell:4,Visual Basic:21,HTML:229,GLSL:2,Dart:75,PowerShell:10,OpenSCAD:2,TSQL:10,Nginx:2,PHP:353,CoffeeScript:3,Pascal:4,Swift:27,AutoIt:1,TypeScript:126,Verilog:2,Kotlin:28,Batchfile:5,Rust:12
LB	LBN	lebanon	873	90464	:108,PowerBuilder:2,Vim script:22,Perl 6:2,ShaderLab:2,Objective-C:160,Smarty:4,Jupyter Notebook:205,Objective-C++:3,C#:326,DIGITAL Command Language:2,Eagle:2,GDScript:2,Perl:27,Ada:2,Cuda:5,C++:252,Go:85,Roff:4,Makefile:33,Python:694,Scala:11,Elixir:14,Rich Text Format:1,CMake:4,Ruby:215,R:37,Shell:149,M:4,XSLT:2,Java:1027,D:2,ActionScript:19,Gherkin:2,Erlang:2,QML:2,Vue:32,Terra:2,Groovy:2,PHP:515,Nim:6,MATLAB:18,CSS:268,ANTLR:2,TeX:9,Dart:26,JavaScript:1552,HCL:12,Lua:12,Mathematica:2,Nix:1,PLpgSQL:6,C:170,Verilog:2,Awk:2,SQLPL:2,Processing:19,Haskell:3,VHDL:6,Protocol Buffer:2,Visual Basic:24,HTML:475,Assembly:12,F#:2,PowerShell:17,Ring:1,Uno:8,TSQL:2,Tcl:4,Rust:37,CoffeeScript:13,Dockerfile:8,Swift:273,TypeScript:261,ApacheConf:1,Arduino:7,Kotlin:73,Cirru:2,Batchfile:14,ASP:10
LC	LCA	st. lucia	156	8647	:13,Vim script:2,PHP:64,Objective-C:9,Smarty:2,Jupyter Notebook:2,C#:169,Scala:5,C++:73,Go:23,Makefile:12,Python:121,Hack:2,Ruby:25,R:41,Shell:37,Java:168,ActionScript:2,Nginx:2,Groovy:3,Perl:4,Assembly:10,MATLAB:12,CSS:64,TeX:19,JavaScript:336,Lua:6,C:41,Emacs Lisp:6,Haskell:9,Visual Basic:2,HTML:124,GLSL:1,Dart:5,PowerShell:8,OpenSCAD:6,Vue:20,Rust:2,CoffeeScript:4,Pascal:8,Swift:22,TypeScript:41,Arduino:6,Kotlin:13,Batchfile:2
LI	LIE	liechtenstein	91	7382	:15,MATLAB:2,CSS:16,Vim script:8,TeX:7,JavaScript:191,Jupyter Notebook:44,C:19,Emacs Lisp:1,C#:56,Visual Basic:2,Java:36,C++:17,Go:9,Makefile:6,PowerShell:2,TSQL:1,Python:98,CoffeeScript:2,Dockerfile:4,Ruby:16,R:4,Shell:38,PLSQL:2,HTML:50,TypeScript:45,SourcePawn:1,PHP:45,Puppet:4,Perl:5
LK	LKA	sri lanka	3887	416521	:229,Vim script:45,Ballerina:675,Common Lisp:5,MQL4:5,Crystal:4,Mercury:1,Gnuplot:5,GDScript:11,Oxygene:2,Scala:156,C++:1408,Go:598,R:121,OpenSCAD:2,KiCad Layout:2,Hack:34,NetLogo:2,Clojure:6,Bluespec:1,CMake:15,Smali:3,XSLT:40,FreeMarker:4,PLpgSQL:16,Erlang:35,QML:1,Nginx:7,Groovy:54,PureBasic:4,Nextflow:6,TeX:56,Dart:443,Ceylon:2,JavaScript:11140,Lua:50,Mathematica:3,Nix:4,Liquid:6,Fortran:1,Handlebars:1,Processing:19,DIGITAL Command Language:6,Visual Basic:78,nesC:2,Java:12952,Coq:6,F#:5,PowerShell:93,Tcl:5,OpenEdge ABL:2,Swift:313,AutoIt:2,SourcePawn:1,ApacheConf:16,Perl:60,ASP:27,Scilab:6,IDL:3,Perl 6:6,ShaderLab:10,Objective-C:324,Smarty:23,Jupyter Notebook:692,Scheme:21,Inno Setup:3,C#:1769,Gosu:3,Pascal:20,Gherkin:2,Vala:13,Ada:1,Cuda:17,M4:4,Makefile:129,Solidity:4,Haxe:6,Python:3537,LLVM:2,Elixir:36,Racket:4,Ruby:586,Roff:13,Shell:1010,Objective-C++:1,ActionScript:2,Eagle:5,GCC Machine Description:2,Vue:147,RobotFramework:2,PHP:3688,MATLAB:94,CSS:2269,ANTLR:2,Julia:10,Prolog:9,SystemVerilog:1,VHDL:18,HCL:25,SQLPL:17,Arduino:111,PureScript:1,C:962,Emacs Lisp:13,API Blueprint:4,OCaml:6,Lasso:2,Haskell:15,Elm:4,Yacc:4,HTML:4306,Assembly:94,Kotlin:250,Rebol:1,TSQL:34,Awk:2,Rust:54,CoffeeScript:80,Dockerfile:128,Batchfile:51,Web Ontology Language:3,PLSQL:8,TypeScript:2368,Logos:2,Verilog:56,PostScript:6,Puppet:16,BitBake:4
LR	LBR	liberia	78	12567	:15,CSS:35,Vim script:1,JavaScript:172,Objective-C:4,Objective-C++:1,C:18,C#:14,Processing:4,HTML:72,C++:16,Python:40,Vue:1,Dockerfile:2,Ruby:4,R:4,Shell:8,Java:96,TypeScript:10,VHDL:2,Verilog:2,PHP:52,Tcl:2,Perl:2
LS	LSO	lesotho	36	655	Go:1,Dart:1,Makefile:1,CSS:22,HTML:32,:3,Python:25,JavaScript:39,C:2,Jupyter Notebook:4,Dockerfile:2,Ruby:2,R:6,Swift:5,Shell:8,C#:20,TypeScript:6,Arduino:2,C++:14,Java:27,PHP:16
LT	LTU	lithuania	3465	319332	:309,TLA:2,Vim script:138,Haxe:16,LiveScript:2,MQL4:1,SQF:2,Crystal:8,V:2,GDScript:24,Scala:291,C++:1467,Go:772,AutoHotkey:14,KiCad Layout:18,Monkey:2,Logos:5,Clojure:95,CMake:16,XSLT:12,Elm:8,PLpgSQL:16,Erlang:42,QML:8,Nginx:13,CartoCSS:1,Groovy:69,Dockerfile:104,TeX:127,Dart:54,JavaScript:7201,Lua:106,Mathematica:4,Nix:4,Liquid:1,Fortran:4,Processing:11,DIGITAL Command Language:1,HLSL:2,Visual Basic:24,Verilog:4,Java:3072,Coq:2,GLSL:4,F#:8,PowerShell:78,OpenEdge ABL:5,Swift:245,SourcePawn:23,Brainfuck:2,PHP:4424,Cirru:2,ApacheConf:10,SaltStack:4,ShaderLab:8,Objective-C:201,Smarty:17,Apex:2,Jupyter Notebook:364,Standard ML:4,C#:2067,Vala:2,Cuda:8,M4:1,Makefile:94,Solidity:2,Idris:40,Python:2809,Racket:2,Elixir:31,Rich Text Format:4,Ruby:1072,R:194,Shell:879,Nemerle:2,Jsonnet:4,ActionScript:45,Eagle:14,GCC Machine Description:4,Vue:262,RobotFramework:2,Perl:60,Pure Data:2,MATLAB:38,CSS:1162,Julia:6,Prolog:11,VHDL:16,HCL:38,SQLPL:7,Objective-J:1,WebAssembly:6,C:1001,Emacs Lisp:46,API Blueprint:2,OCaml:15,AGS Script:1,Haskell:52,HTML:2122,Assembly:69,FreeMarker:4,Red:4,Kotlin:374,OpenSCAD:12,sed:2,TSQL:12,ASP:14,Awk:4,Rust:199,RAML:6,CoffeeScript:78,Pascal:18,Batchfile:29,PLSQL:6,PostScript:2,TypeScript:1074,Hack:1,Arduino:33,AMPL:2,DM:6,Puppet:25,BitBake:2
LU	LUX	luxembourg	1526	179154	:165,TLA:2,Vim script:69,Haxe:59,Rich Text Format:2,Common Lisp:2,Processing:4,ColdFusion:4,Mercury:4,COBOL:2,DIGITAL Command Language:4,Scala:95,C++:658,Go:396,Roff:4,OpenSCAD:1,PHP:1466,NetLogo:2,Clojure:58,CMake:17,Smali:2,XSLT:7,D:2,ApacheConf:3,Coq:15,Nginx:5,Groovy:32,Dockerfile:72,TeX:129,JavaScript:3027,Elm:10,Mathematica:1,Nix:4,PLpgSQL:5,Liquid:4,Fortran:1,Lean:2,Eagle:4,XML:2,HLSL:2,Visual Basic:8,Java:1599,Dart:66,Forth:10,PowerShell:28,Tcl:4,LLVM:2,SMT:2,Smalltalk:2,OpenEdge ABL:2,Swift:195,AutoIt:2,SourcePawn:4,Yacc:6,OCaml:8,Kotlin:32,ASP:6,E:2,ShaderLab:4,Objective-C:112,Smarty:21,Jupyter Notebook:241,Scheme:2,Stata:4,C#:475,Agda:4,Cuda:5,GCC Machine Description:1,Makefile:70,Solidity:4,Idris:40,Python:1649,Racket:4,Elixir:17,LiveScript:2,Ruby:502,R:186,Shell:536,PLSQL:17,ActionScript:8,Gherkin:2,M4:2,Vue:46,Perl:42,MATLAB:88,CSS:503,ANTLR:2,Julia:31,Prolog:16,VHDL:6,HCL:8,C:409,Emacs Lisp:46,API Blueprint:2,SQLPL:2,Haskell:84,Hy:2,HTML:880,Assembly:13,Game Maker Language:2,TSQL:3,ChucK:2,KiCad Layout:2,Rust:75,CoffeeScript:26,Pascal:12,Batchfile:8,Lua:29,AspectJ:6,TypeScript:580,Arduino:37,AMPL:2,PostScript:6,Puppet:34,BitBake:6
